Date,Open,High,Low,Close
2000-03-06,373.114014,373.260986,330.000000,373.260986
2000-03-30,309.375000,309.375000,293.125000,304.553009
2001-02-12,200.061996,200.061996,196.406006,199.031006
2001-02-22,184.061996,184.061996,173.593994,181.052994
2001-04-04,123.438004,123.438004,119.688004,122.324997
2001-07-02,119.061996,119.061996,110.938004,116.682999
2003-12-24,170.311996,170.311996,167.067001,169.494995
2004-01-19,172.968994,172.968994,168.311996,171.955994
2004-09-17,211.994003,211.994003,208.781006,211.212006
2006-11-21,566.250000,566.250000,553.937988,564.125000
2007-09-04,480.674988,480.674988,443.750000,472.424988
2007-10-04,502.500000,502.500000,490.500000,499.725006
2010-07-22,691.187988,691.187988,681.763000,688.625000
2012-04-17,599.750000,599.750000,584.025024,595.174988
2012-10-05,646.250000,646.250000,515.138000,631.713013
2016-06-16,1189.500000,1189.500000,1170.099976,1186.000000
